District code,State name,District name,Population,Female,Female_Literate
1,JAMMU AND KASHMIR,Kupwara,870354,396164,156831
2,JAMMU AND KASHMIR,Badgam,753745,355704,127908
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,54516,30936
4,JAMMU AND KASHMIR,Kargil,140802,63017,29935
5,JAMMU AND KASHMIR,Punch,476835,224936,98391
6,JAMMU AND KASHMIR,Rajouri,642415,297064,139640
7,JAMMU AND KASHMIR,Kathua,616435,290326,160705
8,JAMMU AND KASHMIR,Baramula,1008039,473306,207979
9,JAMMU AND KASHMIR,Bandipore,392232,184552,68921
10,JAMMU AND KASHMIR,Srinagar,1236829,585705,316838
11,JAMMU AND KASHMIR,Ganderbal,297446,138726,52695
12,JAMMU AND KASHMIR,Pulwama,560440,267376,115632
13,JAMMU AND KASHMIR,Shupiyan,266215,129735,56145
14,JAMMU AND KASHMIR,Anantnag,1078692,518925,221115
15,JAMMU AND KASHMIR,Kulgam,424483,206863,84033
16,JAMMU AND KASHMIR,Doda,409936,196295,80463
17,JAMMU AND KASHMIR,Ramban,283713,134581,41127
18,JAMMU AND KASHMIR,Kishtwar,230696,110531,38806
19,JAMMU AND KASHMIR,Udhampur,554985,258201,124811
20,JAMMU AND KASHMIR,Reasi,314667,148206,56605
21,JAMMU AND KASHMIR,Jammu,1529958,716137,495219
22,JAMMU AND KASHMIR,Samba,318898,149774,97827
23,HIMACHAL PRADESH,Chamba,519080,257760,137778
24,HIMACHAL PRADESH,Kangra,1510075,759484,546197
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,14976,8948
26,HIMACHAL PRADESH,Kullu,437903,212451,133122
27,HIMACHAL PRADESH,Mandi,999777,501712,330078
28,HIMACHAL PRADESH,Hamirpur,454768,237698,177536
29,HIMACHAL PRADESH,Una,521173,257481,186434
30,HIMACHAL PRADESH,Bilaspur,381956,189192,132021
31,HIMACHAL PRADESH,Solan,580320,271566,184206
32,HIMACHAL PRADESH,Sirmaur,529855,253566,157028
33,HIMACHAL PRADESH,Shimla,814010,388971,269796
34,HIMACHAL PRADESH,Kinnaur,84121,37872,24002
35,PUNJAB,Gurdaspur,2298323,1085706,727059
36,PUNJAB,Kapurthala,815168,388857,260313
37,PUNJAB,Jalandhar,2193590,1048379,739956
38,PUNJAB,Hoshiarpur,1586625,777568,561772
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,299019,199304
40,PUNJAB,Fatehgarh Sahib,600163,279368,187337
41,PUNJAB,Ludhiana,3498739,1630923,1131877
42,PUNJAB,Moga,995746,469826,279340
43,PUNJAB,Firozpur,2029074,957437,520441
44,PUNJAB,Muktsar,901896,426274,224447
45,PUNJAB,Faridkot,617508,290837,165518
46,PUNJAB,Bathinda,1388525,645328,356607
47,PUNJAB,Mansa,769751,361019,179523
48,PUNJAB,Patiala,1895686,893164,555739
