District code,State name,District name,Population,Male,Male_Literate
1,JAMMU AND KASHMIR,Kupwara,870354,474190,282823
2,JAMMU AND KASHMIR,Badgam,753745,398041,207741
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,62834
4,JAMMU AND KASHMIR,Kargil,140802,77785,56301
5,JAMMU AND KASHMIR,Punch,476835,251899,163333
6,JAMMU AND KASHMIR,Rajouri,642415,345351,224469
7,JAMMU AND KASHMIR,Kathua,616435,326109,228499
8,JAMMU AND KASHMIR,Baramula,1008039,534733,337170
9,JAMMU AND KASHMIR,Bandipore,392232,207680,117058
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,431746
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,90581
12,JAMMU AND KASHMIR,Pulwama,560440,293064,178326
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,80355
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,324417
15,JAMMU AND KASHMIR,Kulgam,424483,217620,125052
16,JAMMU AND KASHMIR,Doda,409936,213641,138620
17,JAMMU AND KASHMIR,Ramban,283713,149132,82938
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,68700
19,JAMMU AND KASHMIR,Udhampur,554985,296784,197543
20,JAMMU AND KASHMIR,Reasi,314667,166461,93937
21,JAMMU AND KASHMIR,Jammu,1529958,813821,641916
22,JAMMU AND KASHMIR,Samba,318898,169124,130312
23,HIMACHAL PRADESH,Chamba,519080,261320,186064
24,HIMACHAL PRADESH,Kangra,1510075,750591,606443
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,12897
26,HIMACHAL PRADESH,Kullu,437903,225452,174550
27,HIMACHAL PRADESH,Mandi,999777,498065,393669
28,HIMACHAL PRADESH,Hamirpur,454768,217070,180555
29,HIMACHAL PRADESH,Una,521173,263692,213281
30,HIMACHAL PRADESH,Bilaspur,381956,192764,155599
31,HIMACHAL PRADESH,Solan,580320,308754,244372
32,HIMACHAL PRADESH,Sirmaur,529855,276289,205617
33,HIMACHAL PRADESH,Shimla,814010,425039,342846
34,HIMACHAL PRADESH,Kinnaur,84121,46249,36697
35,PUNJAB,Gurdaspur,2298323,1212617,907660
36,PUNJAB,Kapurthala,815168,426311,316254
37,PUNJAB,Jalandhar,2193590,1145211,882581
38,PUNJAB,Hoshiarpur,1586625,809057,637927
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,239155
40,PUNJAB,Fatehgarh Sahib,600163,320795,238696
41,PUNJAB,Ludhiana,3498739,1867816,1428348
42,PUNJAB,Moga,995746,525920,348549
43,PUNJAB,Firozpur,2029074,1071637,707070
44,PUNJAB,Muktsar,901896,475622,300401
45,PUNJAB,Faridkot,617508,326671,215767
46,PUNJAB,Bathinda,1388525,743197,488261
